probability p,quantile(p)
0.00986,-2.331633119
0.00987,-2.331253435
0.00988,-2.330874088
0.00989,-2.330495075
0.0099,-2.330116397
0.00991,-2.329738053
0.00992,-2.329360043
0.00993,-2.328982364
0.00994,-2.328605018
0.00995,-2.328228003
0.00996,-2.327851318
0.00997,-2.327474964
0.00998,-2.327098939
0.00999,-2.326723242
0.01,-2.326347874
0.01001,-2.325972833
0.01002,-2.325598119
0.01003,-2.325223732
0.01004,-2.32484967
0.01005,-2.324475933
0.01006,-2.32410252
0.01007,-2.323729432
0.01008,-2.323356666
0.01009,-2.322984223
0.0101,-2.322612102
0.01011,-2.322240302
0.01012,-2.321868823
0.01013,-2.321497664
0.01014,-2.321126825
0.01015,-2.320756305
0.01016,-2.320386103
0.01017,-2.320016218
0.01018,-2.319646651
0.01019,-2.319277401
0.0102,-2.318908466
0.01021,-2.318539847
0.01022,-2.318171542
0.01023,-2.317803552
0.01024,-2.317435875
0.01025,-2.317068511
0.01026,-2.31670146
0.01027,-2.31633472
0.01028,-2.315968292
0.01029,-2.315602175
0.0103,-2.315236367
0.01031,-2.31487087
0.01032,-2.314505681
0.01033,-2.3141408
0.01034,-2.313776228
0.01035,-2.313411963
0.01036,-2.313048004
0.01037,-2.312684352
0.01038,-2.312321005
0.01039,-2.311957963
0.0104,-2.311595226
0.01041,-2.311232792
0.01042,-2.310870662
0.01043,-2.310508835
0.01044,-2.310147309
0.01045,-2.309786086
0.01046,-2.309425164
0.01047,-2.309064542
0.01048,-2.30870422
0.01049,-2.308344198
0.0105,-2.307984475
0.01051,-2.30762505
0.01052,-2.307265923
0.01053,-2.306907094
0.01054,-2.306548561
0.01055,-2.306190324
0.01056,-2.305832383
0.01057,-2.305474738
0.01058,-2.305117387
0.01059,-2.30476033
0.0106,-2.304403566
0.01061,-2.304047096
0.01062,-2.303690918
0.01063,-2.303335033
0.01064,-2.302979438
0.01065,-2.302624135
0.01066,-2.302269122
0.01067,-2.3019144
0.01068,-2.301559966
0.01069,-2.301205822
0.0107,-2.300851965
0.01071,-2.300498397
0.01072,-2.300145116
0.01073,-2.299792122
0.01074,-2.299439414
0.01075,-2.299086992
0.01076,-2.298734855
0.01077,-2.298383004
0.01078,-2.298031436
0.01079,-2.297680152
0.0108,-2.297329152
0.01081,-2.296978434
0.01082,-2.296627999
0.01083,-2.296277846
0.01084,-2.295927973
0.01085,-2.295578382
0.01086,-2.295229071
0.01087,-2.29488004
0.01088,-2.294531288
0.01089,-2.294182815
0.0109,-2.29383462
0.01091,-2.293486704
0.01092,-2.293139064
0.01093,-2.292791702
0.01094,-2.292444616
0.01095,-2.292097806
0.01096,-2.291751271
0.01097,-2.291405011
0.01098,-2.291059026
0.01099,-2.290713315
0.011,-2.290367878
0.01101,-2.290022713
0.01102,-2.289677822
0.01103,-2.289333202
0.01104,-2.288988854
0.01105,-2.288644777
0.01106,-2.288300971
0.01107,-2.287957435
0.01108,-2.287614169
0.01109,-2.287271173
0.0111,-2.286928445
0.01111,-2.286585986
0.01112,-2.286243794
0.01113,-2.285901871
0.01114,-2.285560214
0.01115,-2.285218823
0.01116,-2.284877699
0.01117,-2.284536841
0.01118,-2.284196248
0.01119,-2.283855919
0.0112,-2.283515855
0.01121,-2.283176055
0.01122,-2.282836518
0.01123,-2.282497244
0.01124,-2.282158233
0.01125,-2.281819484
0.01126,-2.281480996
0.01127,-2.28114277
0.01128,-2.280804804
0.01129,-2.280467099
0.0113,-2.280129653
0.01131,-2.279792467
0.01132,-2.27945554
0.01133,-2.279118871
0.01134,-2.278782461
0.01135,-2.278446308
0.01136,-2.278110413
0.01137,-2.277774775
0.01138,-2.277439392
0.01139,-2.277104266
0.0114,-2.276769396
0.01141,-2.27643478
0.01142,-2.276100419
0.01143,-2.275766313
0.01144,-2.27543246
0.01145,-2.275098861
0.01146,-2.274765514
0.01147,-2.274432421
0.01148,-2.274099579
0.01149,-2.273766989
0.0115,-2.273434651
0.01151,-2.273102563
0.01152,-2.272770726
0.01153,-2.272439139
0.01154,-2.272107802
0.01155,-2.271776714
0.01156,-2.271445875
0.01157,-2.271115284
0.01158,-2.270784941
0.01159,-2.270454846
0.0116,-2.270124998
0.01161,-2.269795397
0.01162,-2.269466042
0.01163,-2.269136933
0.01164,-2.26880807
